group_id,user_id,joined
gid-0,uid-0,2014-09-23T18:57:23
gid-6388932896315365395,uid-4429179151714092600,2014-09-02T01:37:49
gid-6388932896315365396,uid-1639630007477671765,2014-09-03T13:59:44
gid-6388932896315365396,uid-5889211434205611648,2014-09-04T14:53:35
gid-6388932896315365397,uid-1639630007477671766,2014-09-10T18:14:55
gid-6388932896315365397,uid-1639630007477671773,2014-09-11T19:45:55
gid-6388932896315365397,uid-5889211434205611657,2014-09-11T01:14:08
gid-6388932896315365397,uid-5889211434205611664,2014-09-10T18:17:04
gid-6388932896315365397,uid-5889211434205611667,2014-09-10T19:47:39
gid-6388932896315365397,uid-6009140739499157641,2014-09-10T18:21:29
gid-6388932896315365398,uid-1639630007477671773,2014-09-11T03:56:55
gid-6388932896315365398,uid-1639630007477671777,2014-09-11T04:21:08
gid-6388932896315365398,uid-4429179151714092609,2014-09-17T22:59:30
gid-6388932896315365398,uid-5889211434205611657,2014-09-10T19:58:14
gid-6388932896315365398,uid-5889211434205611664,2014-09-11T03:32:28
gid-6388932896315365398,uid-6009140739499157641,2014-09-10T18:18:09
gid-6388932896315365400,uid-714868386310895230,2014-09-29T22:17:30
gid-6388932896315365400,uid-4333367279312829952,2014-09-13T17:39:53
gid-6388932896315365400,uid-5167644694380677446,2014-10-14T11:15:54
gid-6388932896315365400,uid-7473411806141291589,2014-10-09T21:09:41
gid-6388932896315365400,uid-8523239747912565004,2014-09-29T20:34:00
gid-6388932896315365400,uid-8523239747912565011,2014-09-30T20:53:08
gid-6388932896315365400,uid-9048710292635813722,2014-10-08T22:47:49
gid-6388932896315365400,uid-9048710292635813723,2014-10-10T01:21:33
gid-6388932896315365401,uid-675359621565520716,2014-09-14T12:59:40
gid-6388932896315365401,uid-2467142322410347956,2014-09-13T23:44:34
gid-6388932896315365401,uid-8132633025607175802,2014-09-13T23:41:44
gid-6388932896315365402,uid-1210561975675760729,2014-09-14T13:04:45
gid-6388932896315365402,uid-4429179151714092623,2014-09-14T13:16:14
gid-6388932896315365402,uid-6799649216337648612,2014-09-14T13:09:40
gid-6388932896315365402,uid-7704120350367315810,2014-09-14T14:26:41
gid-6388932896315365403,uid-1639630007477671780,2014-09-18T15:42:26
