id,date_of_last_activity,avatar,number_of_messages_sent
uid-0,,true,10
uid-16644578292002905,2015-02-01,true,0
uid-16644578292002906,2015-02-01,false,0
uid-16644578292002907,2015-01-21,false,0
uid-16644578292002908,2015-01-22,false,0
uid-16644578292002909,2015-02-03,false,0
uid-16644578292002910,2015-01-22,false,0
uid-16644578292002911,2015-01-22,false,0
uid-16644578292002912,2015-01-26,false,0
uid-16644578292002913,2015-01-23,false,0
uid-23413732936407484,,false,0
uid-59957016359235836,,false,0
uid-59957016359235837,,false,0
uid-74662583103390766,,false,0
uid-74662583103390767,2014-10-01,false,5
uid-74662583103390768,,false,0
uid-118153794298099871,2014-08-28,false,0
uid-120509180081269722,,false,0
uid-192598823043903752,2015-02-04,false,0
uid-192598823043903753,2015-01-03,false,0
uid-192598823043903754,2015-01-03,false,0
uid-192598823043903755,2015-01-14,true,11
uid-192598823043903756,2015-01-03,false,0
uid-192598823043903757,2015-01-04,true,0
uid-239759046887035714,2014-10-04,false,2
uid-251136562000336651,2015-02-04,false,0
uid-254194593410204163,,false,0
uid-266650420046808139,,false,0
uid-288337863612926372,2014-11-14,false,0
uid-327250765233121294,,false,0
uid-327250765233121295,2015-01-09,true,10
uid-327250765233121296,,false,0
uid-335764899220883791,,false,0
uid-381210625942549669,2015-01-27,false,0
uid-445771848552270038,,false,0
uid-539531321344838369,2014-05-15,false,0
uid-569463819195421150,,false,0
uid-581406661312027765,,false,0
uid-581406661312027766,2015-02-01,false,3
uid-581406661312027767,2015-02-02,false,0
uid-581406661312027768,2015-02-01,false,0
uid-581406661312027769,2015-02-03,false,1
uid-581406661312027770,2015-01-28,false,0
uid-581406661312027771,,false,0
uid-581406661312027772,2015-02-05,false,0
uid-581406661312027773,2015-02-06,false,0
uid-581406661312027774,2015-01-29,false,0
uid-581406661312027775,2015-02-05,false,0
uid-581406661312027776,,false,0
uid-581406661312027777,2015-02-02,false,0
uid-581406661312027778,,false,0
uid-590699782026937538,2015-02-03,true,0
uid-590699782026937539,2015-02-06,false,9
uid-590699782026937540,,false,0
uid-590699782026937541,2015-02-06,false,0
uid-590699782026937542,2015-01-29,false,0
uid-590699782026937543,2015-01-28,false,0
uid-590699782026937544,2015-01-27,false,0
uid-590699782026937545,2015-01-27,false,0
uid-590699782026937546,2015-02-05,false,0
uid-590699782026937547,2015-02-06,false,0
uid-660478368396917240,,false,0
uid-675359621565520716,2014-11-13,false,0
uid-691078171719035919,2014-10-04,false,0
uid-696325882462031477,,false,0
uid-696325882462031478,2014-08-28,false,2
uid-696325882462031479,2015-01-05,false,0
uid-696325882462031480,2014-12-22,false,0
uid-696325882462031481,2014-09-01,false,0
uid-696325882462031482,2014-10-15,false,0
uid-696325882462031483,2014-08-29,false,0
uid-696325882462031484,2014-11-22,false,7
uid-696325882462031485,2014-10-14,false,0
uid-696325882462031486,,false,0
uid-696325882462031487,,false,0
uid-699898118337545576,2014-09-22,false,0
uid-714868386310895212,2014-11-20,false,0
uid-714868386310895213,2014-09-26,false,0
uid-714868386310895214,,false,0
uid-714868386310895215,2014-09-26,false,0
uid-714868386310895216,2014-09-27,false,0
uid-714868386310895217,2014-09-27,false,0
uid-714868386310895218,2014-09-28,false,0
uid-714868386310895219,2014-09-27,false,0
uid-714868386310895220,2014-09-26,false,0
uid-714868386310895221,2014-09-27,false,0
uid-714868386310895222,2014-09-27,true,0
uid-714868386310895223,2014-09-30,false,0
uid-714868386310895224,2014-09-27,false,0
uid-714868386310895225,2014-09-27,false,0
uid-714868386310895226,2014-10-21,true,4
uid-714868386310895227,2015-02-04,false,0
uid-714868386310895228,2014-10-01,false,1
uid-714868386310895229,2014-09-30,false,0
uid-714868386310895230,2015-01-12,false,0
uid-714868386310895231,2014-11-24,false,12
uid-714868386310895232,2014-09-30,false,0
uid-714868386310895233,2014-09-30,false,0
uid-714868386310895234,2014-09-30,false,0
uid-714868386310895235,2014-12-10,false,0
uid-714868386310895236,2014-11-03,false,2
uid-714868386310895237,,false,0
uid-714868386310895238,2014-12-02,false,0
uid-714868386310895239,2014-10-11,false,0
uid-714868386310895240,2015-01-13,true,0
uid-714868386310895241,2014-10-23,false,0
uid-714868386310895242,,false,0
uid-714868386310895243,2014-10-03,false,0
uid-714868386310895244,,false,0
uid-714868386310895245,2014-10-14,false,0
uid-714868386310895246,,false,0
uid-714868386310895247,2014-10-09,false,0
uid-714868386310895248,2015-02-06,true,25
uid-714868386310895249,2014-10-28,false,0
uid-714868386310895250,,false,0
uid-729691317974845763,,false,0
uid-729691317974845764,,false,0
uid-729691317974845765,,false,0
uid-729691317974845766,2014-05-01,false,0
uid-729691317974845768,2014-05-01,false,0
uid-729691317974845769,,false,0
uid-729691317974845770,2015-02-06,false,0
uid-750834820969488661,,false,0
uid-756331228859345128,2014-12-19,false,0
uid-756331228859345129,2014-12-23,false,0
uid-756331228859345130,2015-02-06,false,0
uid-756331228859345131,2014-12-22,false,0
uid-756331228859345132,2014-12-23,false,0
uid-756331228859345133,2014-12-24,false,0
uid-756331228859345134,2015-01-07,false,0
uid-756685634187111178,2015-02-05,false,4
uid-762276199242671412,2014-05-10,false,0
uid-827612529780455424,2014-11-17,true,0
uid-843572182610654275,2014-06-27,false,0
uid-843572182610654276,,false,0
uid-843572182610654277,2014-06-04,false,0
uid-843572182610654278,2014-06-10,false,0
uid-843572182610654279,,false,0
uid-861997319951321133,2015-01-07,false,0
uid-861997319951321134,2015-02-06,false,0
uid-861997319951321135,2015-01-05,false,0
uid-861997319951321136,2015-01-03,false,0
uid-861997319951321137,,false,0
uid-861997319951321138,2015-02-05,false,0
uid-861997319951321139,2015-02-05,false,0
uid-861997319951321140,2015-02-06,false,0
uid-861997319951321141,2015-01-04,false,0
uid-861997319951321142,2015-02-02,true,0
uid-866622179996381268,2015-01-05,false,0
uid-866622179996381269,2015-01-05,false,0
uid-866622179996381270,2015-01-05,false,0
uid-866622179996381271,2015-01-23,false,0
uid-866622179996381272,2015-02-06,false,0
uid-866622179996381273,2015-02-06,true,0
uid-866622179996381274,2015-02-04,false,0
uid-866622179996381275,2015-02-02,true,0
uid-866622179996381276,2015-01-05,false,0
uid-866622179996381277,2015-01-05,false,0
uid-866622179996381278,2015-02-05,true,0
uid-866622179996381279,2015-01-06,false,0
uid-866622179996381280,2015-01-11,false,0
uid-885862913581713572,,false,0
uid-885862913581713573,,false,0
uid-885862913581713574,,false,0
uid-907944990168767709,2014-09-09,false,0
uid-908435400188466360,2015-02-05,false,0
uid-908435400188466361,2015-02-05,false,1
uid-908435400188466362,2015-02-05,false,0
uid-908435400188466363,2015-02-05,false,0
uid-908435400188466364,2015-02-05,false,0
uid-908435400188466365,2015-02-05,false,0
uid-908435400188466366,2015-02-05,false,0
uid-908435400188466367,,false,0
uid-908435400188466368,2015-02-06,false,0
uid-942677281430279358,2015-02-03,false,0
uid-942677281430279359,2015-01-29,false,0
uid-942677281430279360,2015-02-06,false,0
uid-942677281430279361,2015-02-06,false,0
uid-942677281430279362,2015-01-02,false,0
uid-942677281430279363,2015-02-05,false,0
uid-942677281430279364,2015-01-02,false,0
uid-942677281430279365,2015-01-25,false,0
uid-942677281430279366,2015-01-19,false,0
uid-942677281430279367,2015-02-01,false,0
uid-942677281430279368,,false,0
uid-942677281430279369,2015-01-03,false,0
uid-942677281430279370,2015-01-17,false,0
uid-942677281430279371,2015-01-03,false,0
uid-942677281430279372,2015-02-04,false,0
uid-942677281430279373,2015-01-03,false,0
uid-942677281430279374,2015-02-06,true,0
uid-942677281430279375,2015-01-26,false,0
uid-942677281430279376,2015-02-05,false,0
uid-942677281430279377,,false,0
uid-942677281430279378,2015-01-16,false,0
uid-942677281430279379,2015-01-05,false,0
uid-942677281430279380,2015-02-05,true,0
uid-942677281430279381,2015-01-06,false,0
uid-942677281430279382,,false,0
uid-942677281430279383,2015-02-04,false,0
uid-942677281430279384,2015-01-06,false,0
uid-942677281430279385,2015-02-05,false,0
uid-953356951610509083,2014-09-20,false,0
uid-968351980555384065,,false,0
uid-973773058269049763,,false,0
uid-988061728858320291,2014-08-06,false,0
uid-1063452971208794050,2014-07-05,false,0
uid-1063452971208794051,2014-11-15,false,0
uid-1101134978101461653,2014-07-01,false,1
uid-1123746496894857128,2014-12-16,false,0
uid-1123746496894857129,2015-02-03,true,0
uid-1123746496894857130,2014-12-18,false,0
uid-1123746496894857131,2015-01-27,false,0
uid-1123746496894857132,2015-02-06,false,0
uid-1171341128380485653,,false,0
uid-1171341128380485654,2015-02-05,false,0
uid-1192013279094603312,,false,0
uid-1192013279094603313,,false,0
uid-1192013279094603314,,false,0
uid-1192013279094603315,,false,0
uid-1192013279094603316,2014-12-31,false,3
uid-1210561975675760724,,false,0
uid-1210561975675760725,,false,0
uid-1210561975675760726,,false,0
uid-1210561975675760727,2014-07-02,false,0
uid-1210561975675760728,2014-07-02,false,0
uid-1210561975675760729,2014-12-31,false,17
uid-1239551635251054406,2014-09-13,false,0
uid-1333063116360207684,2014-09-19,false,0
uid-1352247568516688610,2015-01-19,false,0
uid-1352247568516688611,2015-02-04,false,0
uid-1352247568516688612,2015-01-19,true,0
uid-1352247568516688613,2015-01-19,false,0
uid-1352247568516688614,2015-01-20,false,0
uid-1352247568516688615,2015-01-22,true,0
uid-1352247568516688616,,false,0
uid-1352247568516688617,2015-02-04,false,10
uid-1364527996327413034,2014-07-01,false,0
uid-1370974483163565408,2014-11-14,false,3
uid-1457195794426975041,,false,0
uid-1481793385209323649,2014-07-04,false,0
uid-1491104067552395849,,false,0
uid-1491104067552395850,,false,0
uid-1491104067552395851,,false,0
uid-1491104067552395852,2014-05-01,false,0
uid-1491104067552395853,,false,0
uid-1491104067552395854,,false,0
uid-1502881360908469529,,false,0
uid-1506162771977875673,2014-10-23,false,4
uid-1506162771977875674,2014-10-29,false,0
uid-1506162771977875675,,false,0
uid-1506162771977875676,2014-10-23,false,0
uid-1506162771977875677,2014-10-27,false,0
uid-1529409676380609238,2014-10-17,false,0
uid-1529409676380609239,2014-11-19,false,0
uid-1568595066748855341,2015-01-12,false,0
uid-1568595066748855342,2015-02-06,false,0
uid-1568595066748855343,2014-11-22,false,0
uid-1568595066748855344,,false,0
uid-1569566829707072999,,false,0
uid-1588651181885950306,2015-02-05,false,0
uid-1588651181885950307,2015-02-06,true,0
uid-1588651181885950308,2014-11-19,false,0
uid-1588651181885950309,2015-02-06,false,0
uid-1588651181885950310,2014-11-18,false,0
uid-1588651181885950311,2014-11-18,false,0
uid-1588651181885950312,,false,0
uid-1627152778743106907,2014-10-31,false,0
uid-1639630007477671763,,false,0
uid-1639630007477671764,2015-01-15,false,0
uid-1639630007477671765,2015-02-06,true,2
uid-1639630007477671766,2015-02-05,true,32
uid-1639630007477671767,2015-02-05,true,16
uid-1639630007477671768,2014-09-08,false,0
uid-1639630007477671769,2014-09-08,false,0
uid-1639630007477671770,2015-02-05,false,0
uid-1639630007477671772,,false,0
uid-1639630007477671773,2014-11-20,true,5
uid-1639630007477671774,2014-10-15,false,0
uid-1639630007477671775,,false,0
uid-1639630007477671776,2014-09-12,false,0
uid-1639630007477671777,2014-09-15,true,0
uid-1639630007477671778,2015-02-04,true,1
uid-1639630007477671779,2014-09-12,false,0
uid-1639630007477671780,2014-12-30,true,20
uid-1639630007477671781,2014-09-12,false,0
uid-1639630007477671782,2014-09-12,false,0
uid-1639630007477671783,2014-09-13,false,0
uid-1639630007477671784,2014-09-14,false,1
uid-1639630007477671785,2015-01-01,false,0
uid-1639630007477671786,2014-09-19,false,0
uid-1639630007477671787,2014-11-16,false,0
uid-1639630007477671788,2014-09-29,true,0
uid-1639630007477671789,2014-09-19,false,0
uid-1657897923691064024,2015-02-05,false,0
uid-1657897923691064025,2015-01-19,false,0
uid-1657897923691064026,,false,0
